JCR Year and Edition: 2012 Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
BIOINFORMATICS;1367-4803;51753;5.323;6.911;0.729;728;6.4;0.18271;3.053;
BMC BIOINFORMATICS;1471-2105;17337;3.024;3.510;0.432;528;4.6;0.08135;1.388;
BMC BIOL;1741-7007;2631;6.531;6.384;1.695;59;3.5;0.01521;2.582;
BMC GENOMICS;1471-2164;18388;4.397;4.615;0.536;812;3.6;0.08571;1.462;
BRIEF BIOINFORM;1467-5463;3073;5.298;7.510;1.276;58;4.7;0.01286;2.922;
CELL;0092-8674;178762;31.957;34.366;6.499;415;8.5;0.58942;19.327;
DATABASE-OXFORD;1758-0463;522;4.200;4.189;0.725;40;2.2;0.00350;1.796;
EMBO J;0261-4189;75950;9.822;9.602;2.553;333;>10.0;0.16128;5.187;
GENOME BIOL;1474-7596;17478;10.288;8.959;1.468;154;5.6;0.08607;4.688;
GENOME BIOL EVOL;1759-6653;1284;4.759;4.859;0.982;113;2.1;0.00965;2.283;
GENOME RES;1088-9051;28856;14.397;14.104;3.416;238;5.7;0.13258;7.492;
J MOL BIOL;0022-2836;70025;3.905;3.888;1.169;439;>10.0;0.14471;1.803;
MBIO;2150-7511;1260;5.621;5.621;1.536;151;1.7;0.00777;2.433;
MOL CELL;1097-2765;47818;15.280;14.902;2.818;296;6.2;0.22992;8.735;
NAT GENET;1061-4036;81183;35.209;34.520;5.511;225;6.8;0.30955;17.442;
NAT METHODS;1548-7091;19241;23.565;23.231;4.404;151;4.0;0.13410;12.099;
NAT REV GENET;1471-0056;23358;41.063;36.400;6.314;70;4.9;0.12498;18.755;
NUCLEIC ACIDS RES;0305-1048;118715;8.278;8.055;2.205;1425;7.5;0.32581;3.280;
P ROY SOC B-BIOL SCI;0962-8452;37539;5.683;5.832;1.224;624;8.4;0.09147;2.379;
PLOS BIOL;1545-7885;22908;12.690;13.447;2.151;152;5.2;0.13481;7.471;
PLOS COMPUT BIOL;1553-7358;11758;4.867;5.939;0.824;507;3.6;0.07881;2.709;
PLOS GENET;1553-7404;22212;8.517;9.440;1.204;691;3.4;0.17456;4.969;
PLOS PATHOG;1553-7374;19743;8.136;8.917;1.306;627;3.1;0.11989;3.488;
RNA;1355-8382;11854;5.088;5.430;1.010;201;5.6;0.05183;2.613;
RNA BIOL;1547-6286;1787;4.841;5.436;0.871;132;2.8;0.01090;2.354;
NATURE;0028-0836;554745;38.597;38.159;9.243;869;9.6;1.57508;20.844;
P NATL ACAD SCI USA;0027-8424;534951;9.737;10.583;1.893;3801;8.0;1.55663;4.892;
PLOS BIOL;1545-7885;22908;12.690;13.447;2.151;152;5.2;0.13481;7.471;
PLOS COMPUT BIOL;1553-7358;11758;4.867;5.939;0.824;507;3.6;0.07881;2.709;
PLOS GENET;1553-7404;22212;8.517;9.440;1.204;691;3.4;0.17456;4.969;
PLOS MED;1549-1676;14820;15.253;16.426;3.235;115;4.6;0.07555;6.971;
PLOS ONE;1932-6203;133246;3.730;4.244;0.407;23406;2.4;0.78326;1.548;
PLOS PATHOG;1553-7374;19743;8.136;8.917;1.306;627;3.1;0.11989;3.488;
SCIENCE;0036-8075;508489;31.027;33.587;6.691;832;9.7;1.35987;17.712;
GENOME BIOL EVOL;1759-6653;1284;4.759;4.859;0.982;113;2.1;0.00965;2.283;
J MOL EVOL;0022-2844;8397;2.145;2.379;0.312;48;>10.0;0.00829;0.884;
MOL BIOL EVOL;0737-4038;32168;10.353;11.221;1.561;294;6.3;0.09572;4.052;
NAT COMMUN;2041-1723;7322;10.015;10.020;2.096;612;1.6;0.05905;5.612;
ORIGINS LIFE EVOL B;0169-6149;1462;1.831;2.174;0.179;39;>10.0;0.00213;0.639;
TRENDS ECOL EVOL;0169-5347;24279;15.389;17.112;2.974;76;8.9;0.05234;7.280;
TRENDS GENET;0168-9525;10798;9.772;9.325;2.101;69;8.3;0.03279;4.746;
TRENDS MICROBIOL;0966-842X;8226;8.434;8.090;2.153;72;7.4;0.02090;3.153;

