JCR Year and Edition: 2011 Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
NAT REV GENET;1471-0056;20384;38.075;31.359;7.014;71;4.7;0.12140;16.942;
NATURE;0028-0836;526505;36.280;36.235;9.690;841;9.4;1.65658;20.353;
NAT GENET;1061-4036;76456;35.532;33.096;6.357;196;6.8;0.33022;17.569;
ANNU REV BIOCHEM;0066-4154;18684;34.317;35.013;2.951;41;>10.0;0.05695;19.743;
CELL;0092-8674;171297;32.403;34.774;6.382;338;8.6;0.66143;20.536;
SCIENCE;0036-8075;480836;31.201;32.452;6.075;871;9.4;1.41282;17.508;
NAT MED;1078-8956;54228;22.462;26.418;5.150;187;7.5;0.16560;12.147;
ANNU REV GENET;0066-4197;6212;22.233;20.637;0.200;20;7.3;0.02517;12.124;
NAT REV MICROBIOL;1740-1526;12517;21.182;20.928;3.729;70;4.5;0.06691;9.014;
CLIN MICROBIOL REV;0893-8512;11551;16.129;19.832;1.875;32;9.1;0.02172;6.834;
TRENDS ECOL EVOL;0169-5347;22734;15.748;16.981;2.514;74;8.4;0.06021;7.915;
ANNU REV GENOM HUM G;1527-8204;2172;14.829;14.615;0.500;18;4.6;0.01480;8.393;
NAT CHEM BIOL;1552-4450;9001;14.690;16.052;3.105;124;3.3;0.06513;7.339;
ANNU REV ECOL EVOL S;1543-592X;14049;14.373;18.007;0.227;22;>10.0;0.02335;9.275;
ANNU REV MICROBIOL;0066-4227;7940;14.345;16.083;0.452;31;>10.0;0.01815;7.427;
MOL CELL;1097-2765;44493;14.178;14.202;2.875;288;5.9;0.25105;8.942;
MOL PSYCHIATR;1359-4184;11679;13.668;12.992;3.676;102;5.3;0.04068;4.651;
GENOME RES;1088-9051;24988;13.608;12.486;2.548;208;5.9;0.12712;7.148;
CELL HOST MICROBE;1931-3128;4840;13.500;14.067;2.274;95;2.8;0.04200;6.970;
MICROBIOL MOL BIOL R;1092-2172;8496;13.018;16.814;2.227;22;8.9;0.01944;7.296;
NAT STRUCT MOL BIOL;1545-9993;22401;12.712;12.114;2.885;208;6.1;0.12301;7.704;
GENE DEV;0890-9369;55857;11.659;12.785;2.703;236;8.5;0.20966;8.008;
PLOS BIOL;1544-9173;20579;11.452;13.630;2.461;180;4.6;0.14975;7.830;
FEMS MICROBIOL REV;0168-6445;7160;10.960;11.754;2.978;46;7.7;0.01761;4.280;
TRENDS BIOCHEM SCI;0968-0004;15180;10.847;11.587;2.892;74;9.0;0.04172;5.868;
PROG LIPID RES;0163-7827;3761;10.667;11.950;2.733;30;7.5;0.00898;4.039;
TRENDS MOL MED;1471-4914;5639;10.355;9.835;1.481;79;5.0;0.02267;3.695;
SYST BIOL;1063-5157;10361;10.225;12.061;1.470;66;7.8;0.02678;4.642;
TRENDS GENET;0168-9525;10591;10.064;8.986;2.250;60;7.7;0.03615;4.472;
MOL ASPECTS MED;0098-2997;2656;9.970;10.272;0.786;14;5.2;0.00843;3.039;
CURR OPIN CHEM BIOL;1367-5931;8599;9.850;9.723;1.204;108;5.8;0.02786;3.416;
NAT PROD REP;0265-0568;5774;9.790;9.671;2.611;72;5.7;0.01594;2.972;
P NATL ACAD SCI USA;0027-8424;504243;9.681;10.472;1.874;3614;7.8;1.60330;4.892;
CURR BIOL;0960-9822;41572;9.647;10.881;2.360;333;6.3;0.18626;5.884;
CURR OPIN STRUC BIOL;0959-440X;10190;9.424;9.485;1.548;93;6.7;0.04114;4.868;
BBA-REV CANCER;0304-419X;3046;9.380;9.939;1.756;41;4.7;0.01246;3.788;
EMBO J;0261-4189;73390;9.205;8.833;2.248;379;>10.0;0.17352;4.863;
CLIN INFECT DIS;1058-4838;43819;9.154;8.667;2.312;397;6.2;0.13417;3.121;
PLOS PATHOG;1553-7366;15642;9.127;9.629;1.050;542;2.7;0.11397;4.084;
BIOL REV;1464-7931;5678;9.067;11.790;1.830;47;8.9;0.01403;4.865;
GENOME BIOL;1474-7596;15556;9.036;7.896;1.550;151;5.2;0.08221;4.124;
PLANT CELL;1040-4651;36816;8.987;10.224;1.660;288;7.6;0.08943;3.747;
CELL DEATH DIFFER;1350-9047;13183;8.849;7.955;1.977;174;5.1;0.05754;3.235;
PLOS GENET;1553-7390;16668;8.694;9.173;1.376;548;2.9;0.15435;5.101;
MOL SYST BIOL;1744-4292;4671;8.626;11.620;1.621;95;3.6;0.03920;5.830;
ANTIOXID REDOX SIGN;1523-0864;9629;8.456;7.615;2.119;361;3.9;0.03706;2.368;
CURR OPIN GENET DEV;0959-437X;7832;8.086;8.040;1.543;105;6.5;0.03373;4.371;
NUCLEIC ACIDS RES;0305-1048;106520;8.026;7.417;2.016;1230;7.4;0.30497;3.003;
CURR OPIN MICROBIOL;1369-5274;7344;7.929;8.418;1.020;100;5.7;0.02973;3.540;
TRENDS MICROBIOL;0966-842X;7745;7.910;7.269;1.365;74;7.1;0.02090;2.836;
CYTOKINE GROWTH F R;1359-6101;4405;7.812;8.013;0.485;33;6.6;0.01279;3.040;
Q REV BIOL;0033-5770;3153;7.727;6.538;0.750;8;>10.0;0.00320;3.355;
CRIT REV BIOCHEM MOL;1040-9238;2500;7.655;8.916;0.667;33;8.5;0.00871;4.429;
HUM MOL GENET;0964-6906;33384;7.636;7.510;1.743;463;6.4;0.11530;3.158;
SCI SIGNAL;1937-9145;3597;7.499;7.143;1.424;177;2.2;0.03239;3.807;
EMBO REP;1469-221X;9618;7.355;7.366;1.494;154;5.7;0.04663;3.743;
PHYS LIFE REV;1571-0645;549;7.208;5.241;10.917;12;2.7;0.00215;2.021;
EXPERT REV MOL MED;1462-3994;1511;7.143;;1.000;38;3.7;0.00694;;
MOL THER;1525-0016;11679;6.873;6.284;1.704;230;4.5;0.04302;2.020;
CELL MOL LIFE SCI;1420-682X;16807;6.570;6.534;1.017;301;5.2;0.06525;2.499;
MUTAT RES-REV MUTAT;1383-5742;2571;6.462;7.920;0.429;21;6.0;0.00718;2.411;
J INFECT DIS;0022-1899;42700;6.410;6.250;1.237;600;8.0;0.10292;2.287;
PHILOS T R SOC B;0962-8436;23973;6.401;7.154;2.746;319;7.1;0.07744;3.301;
ONCOGENE;0950-9232;58176;6.373;6.889;1.777;444;7.2;0.17174;2.816;
J MED GENET;0022-2593;11334;6.365;5.669;1.099;131;7.4;0.03046;2.284;
STRUCTURE;0969-2126;11853;6.347;5.931;1.515;169;7.3;0.04784;3.338;
CRIT REV MICROBIOL;1040-841X;1279;6.270;5.694;0.680;25;7.7;0.00274;1.755;
CIRC-CARDIOVASC GENE;1942-325X;1080;6.105;6.137;1.136;81;2.1;0.00844;2.869;
CURR OPIN LIPIDOL;0957-9672;3478;6.086;5.351;1.000;58;6.3;0.01066;1.921;
ENVIRON MICROBIOL;1462-2912;12352;5.843;6.151;1.296;250;4.4;0.05220;2.185;
CHEM BIOL;1074-5521;9121;5.829;5.971;1.258;151;6.9;0.02761;2.436;
BMC BIOL;1741-7007;2193;5.750;5.841;1.042;48;3.0;0.01674;2.778;
FASEB J;0892-6638;38304;5.712;6.340;1.281;409;7.6;0.08887;2.241;
HUM MUTAT;1059-7794;10114;5.686;5.845;0.960;200;5.3;0.04027;2.344;
J LIPID RES;0022-2275;19338;5.559;5.086;1.253;225;7.7;0.05013;1.838;
MOL BIOL EVOL;0737-4038;28313;5.550;9.857;2.034;297;6.4;0.09215;3.838;
MOL PLANT;1674-2052;1632;5.546;5.415;1.141;92;2.4;0.00952;1.838;
BBA-MOL CELL RES;0167-4889;7895;5.538;4.932;0.843;223;5.1;0.03193;1.916;
MOL CELL BIOL;0270-7306;67032;5.527;5.766;1.249;398;8.9;0.17397;3.015;
MOL ECOL;0962-1083;26842;5.522;6.347;1.109;368;6.3;0.07349;2.082;
BIOMACROMOLECULES;1525-7797;21280;5.479;5.646;0.752;509;4.9;0.06046;1.395;
BIOINFORMATICS;1367-4803;43380;5.468;6.051;0.666;707;6.2;0.15922;2.606;
CELL MICROBIOL;1462-5814;7268;5.458;5.299;1.116;138;4.7;0.03234;1.973;
FREE RADICAL BIO MED;0891-5849;29614;5.423;5.769;0.819;408;8.3;0.05344;1.576;
P ROY SOC B-BIOL SCI;0962-8452;34839;5.415;5.670;1.345;466;8.2;0.09631;2.454;
BBA-MOL BASIS DIS;0925-4439;5467;5.387;4.839;1.132;182;5.2;0.01858;1.642;
MBIO;2150-7511;451;5.311;5.311;1.017;121;1.3;0.00261;2.327;
BBA-MOL CELL BIOL L;1388-1981;5861;5.269;4.899;0.605;124;5.3;0.02233;1.806;
CLADISTICS;0748-3007;3229;5.250;5.684;0.972;36;>10.0;0.00623;1.916;
PLOS COMPUT BIOL;1553-734X;8924;5.215;5.844;0.710;407;3.1;0.06968;2.722;
BRIEF BIOINFORM;1467-5463;2859;5.202;7.749;0.692;65;4.3;0.01129;2.857;
DNA RES;1340-2838;1766;5.164;5.276;0.810;42;6.5;0.00547;2.054;
EVOLUTION;0014-3820;29505;5.146;5.613;0.905;285;>10.0;0.05578;2.431;
CURR DRUG METAB;1389-2002;2862;5.113;4.879;0.593;81;4.3;0.00885;1.216;
RNA;1355-8382;10965;5.095;5.157;1.096;198;5.3;0.05466;2.587;
HUM GENET;0340-6717;8877;5.069;4.184;1.299;137;9.0;0.02028;1.611;
J ANTIMICROB CHEMOTH;0305-7453;19785;5.068;4.792;1.469;446;5.5;0.05600;1.453;
MOL MICROBIOL;0950-382X;35995;5.010;5.248;1.281;434;8.1;0.09071;2.156;
BBA-GEN SUBJECTS;0304-4165;7514;5.000;3.883;0.669;142;6.3;0.01967;1.192;
BIOESSAYS;0265-9247;8453;4.954;4.754;1.341;88;7.6;0.02411;2.060;
BIOFACTORS;0951-6433;2276;4.933;2.959;0.211;57;6.9;0.00504;0.802;
RNA BIOL;1547-6286;1228;4.933;;1.021;96;2.6;0.00846;;
BIOCONJUGATE CHEM;1043-1802;13657;4.930;5.224;0.577;300;5.5;0.03426;1.347;
CURR TOP MICROBIOL;0070-217X;4850;4.925;4.441;1.019;52;6.0;0.01724;1.747;
EVOL APPL;1752-4571;876;4.916;6.206;1.655;55;2.7;0.00584;2.524;
BIOCHEM J;0264-6021;49881;4.897;4.693;0.874;446;>10.0;0.07918;1.858;
CURR MED CHEM;0929-8673;11387;4.859;4.806;0.474;403;5.2;0.03177;1.297;
BBA-BIOENERGETICS;0005-2728;8070;4.843;4.485;1.024;170;5.8;0.02480;1.507;
ANTIMICROB AGENTS CH;0066-4804;45452;4.841;4.911;1.059;876;7.0;0.09589;1.404;
APOPTOSIS;1360-8185;4760;4.788;4.125;0.664;110;4.8;0.01743;1.252;
J BIOL CHEM;0021-9258;402449;4.773;5.117;0.954;4382;9.4;0.74298;2.029;
GENET MED;1098-3600;3375;4.762;4.402;1.304;125;4.3;0.01624;1.793;
J MOL MED;0946-2716;5588;4.668;4.704;1.178;107;5.6;0.01936;1.753;
